Jahr,RaumSort,RaumLang,RechtsformSort,RechtsformLang,asBetriebsgrSort,BetriebsgrLang,Arbeitsstaetten,AnzBesch,AnzBeschW,AnzBeschM,AnzVZAano,AnzVZAWano,AnzVZAMano
2011,10,Kreis 1,0,Alle Rechtsformen,1,Mikrounternehmen,4350,15438,9182,6256,10978,6038,4940
2011,10,Kreis 1,0,Alle Rechtsformen,2,Kleine Unternehmen,701,18823,10159,8664,14276,7029,7246
2011,10,Kreis 1,0,Alle Rechtsformen,3,Mittlere Unternehmen,173,21586,9679,11907,17209,7017,10193
2011,10,Kreis 1,0,Alle Rechtsformen,4,Grosse Unternehmen,25,12780,5642,7138,10675,4254,6420
2011,10,Kreis 1,1,Einzelfirmen,0,Alle Betriebsgrössen,1685,4393,2645,1748,3138,1705,1433
2011,10,Kreis 1,1,Einzelfirmen,1,Mikrounternehmen,1645,3398,2093,1305,2342,1296,1046
2011,10,Kreis 1,1,Einzelfirmen,2,Kleine Unternehmen,40,995,552,443,796,409,387
2011,10,Kreis 1,2,Personengesellschaften,0,Alle Betriebsgrössen,217,1829,1091,738,1347,763,584
2011,10,Kreis 1,2,Personengesellschaften,1,Mikrounternehmen,191,769,543,226,540,354,186
2011,10,Kreis 1,2,Personengesellschaften,2,Kleine Unternehmen,23,479,286,193,390,225,165
2011,10,Kreis 1,2,Personengesellschaften,3,Mittlere Unternehmen,3,581,262,319,,,
2011,10,Kreis 1,3,Aktiengesellschaften,0,Alle Betriebsgrössen,2241,39368,19293,20075,32220,14456,17763
2011,10,Kreis 1,3,Aktiengesellschaften,1,Mikrounternehmen,1687,7638,4480,3158,5694,3105,2589
2011,10,Kreis 1,3,Aktiengesellschaften,2,Kleine Unternehmen,437,11232,5810,5422,9023,4306,4717
2011,10,Kreis 1,3,Aktiengesellschaften,3,Mittlere Unternehmen,100,12408,5189,7219,10622,4050,6572
2011,10,Kreis 1,3,Aktiengesellschaften,4,Grosse Unternehmen,17,8090,3814,4276,6881,2995,3885
2011,10,Kreis 1,4,GmbH,0,Alle Betriebsgrössen,582,3859,2147,1712,2749,1380,1369
2011,10,Kreis 1,4,GmbH,1,Mikrounternehmen,513,1911,1105,806,1357,717,640
2011,10,Kreis 1,4,GmbH,2,Kleine Unternehmen,65,1613,902,711,1097,549,548
2011,10,Kreis 1,4,GmbH,3,Mittlere Unternehmen,4,335,140,195,295,114,181
2011,10,Kreis 1,5,Genossenschaften,0,Alle Betriebsgrössen,57,2107,1233,874,1559,887,673
2011,10,Kreis 1,5,Genossenschaften,1,Mikrounternehmen,28,171,128,43,129,99,30
2011,10,Kreis 1,5,Genossenschaften,2,Kleine Unternehmen,20,612,413,199,450,278,172
2011,10,Kreis 1,5,Genossenschaften,3,Mittlere Unternehmen,9,1324,692,632,980,510,471
2011,10,Kreis 1,6,Ausländische Kapitalgesellschaften,0,Alle Betriebsgrössen,67,884,370,514,805,317,489
2011,10,Kreis 1,6,Ausländische Kapitalgesellschaften,1,Mikrounternehmen,45,175,87,88,151,68,84
2011,10,Kreis 1,6,Ausländische Kapitalgesellschaften,2,Kleine Unternehmen,20,510,223,287,470,197,273
2011,10,Kreis 1,6,Ausländische Kapitalgesellschaften,3,Mittlere Unternehmen,2,199,60,139,184,52,132
2011,10,Kreis 1,7,"Vereine, Stiftungen",0,Alle Betriebsgrössen,211,3184,1682,1502,1841,936,903
2011,10,Kreis 1,7,"Vereine, Stiftungen",1,Mikrounternehmen,170,781,446,335,459,253,205
2011,10,Kreis 1,7,"Vereine, Stiftungen",2,Kleine Unternehmen,33,1082,659,423,651,397,253
2011,10,Kreis 1,7,"Vereine, Stiftungen",3,Mittlere Unternehmen,8,1321,577,744,731,286,445
2011,10,Kreis 1,8,"Öffentliche Unternehmen, Verwaltung",0,Alle Betriebsgrössen,189,13003,6201,6802,9479,3894,5585
2011,10,Kreis 1,8,"Öffentliche Unternehmen, Verwaltung",1,Mikrounternehmen,71,595,300,295,306,146,160
2011,10,Kreis 1,8,"Öffentliche Unternehmen, Verwaltung",2,Kleine Unternehmen,63,2300,1314,986,1399,668,731
2011,10,Kreis 1,8,"Öffentliche Unternehmen, Verwaltung",3,Mittlere Unternehmen,47,5418,2759,2659,3980,1821,2159
2011,10,Kreis 1,8,"Öffentliche Unternehmen, Verwaltung",4,Grosse Unternehmen,8,4690,1828,2862,3794,1259,2535
2011,11,Rathaus,0,Alle Rechtsformen,0,Alle Betriebsgrössen,1522,10180,5492,4688,7205,3493,3710
2011,11,Rathaus,0,Alle Rechtsformen,1,Mikrounternehmen,1368,4449,2616,1833,3100,1652,1446
